"Sample_ID","Lactobacillus_crispatus","Lactobacillus_iners","Gardnerella_spp.","Lactobacillus_gasseri","Lactobacillus_jensenii","Bifidobacterium_spp.","Atopobium_vaginae","Prevotella_spp.","Lactobacillus_spp.","Lactobacillus_delbrueckii","Megasphaera_spp.","Aerococcus_spp.","Streptococcus_agalactiae","Streptococcus_anginosus","Anaerococcus_spp.","Species_Other","Streptococcus_luteciae","Shuttleworthia_spp.","Streptococcus_spp.","Veillonella_spp."
"A24",45.9516238928004,0.987962752668635,48.1205995911878,0.124914830797184,0.227117874176698,0,0.124914830797184,0.102203043379514,3.57710651828299,0,0.0227117874176698,0.0113558937088349,0,0,0.397456279809221,0.352032704973881,0,0,0,0
"A25",2.6498696785404,95.3456621571304,0.577137892515825,0.161350378552811,0.117909892019362,0.105498324438377,0.20479086508626,0.0620578379049274,0,0,0.0992925406478838,0.024823135161971,0,0.024823135161971,0.0434404865334492,0.558520541144347,0,0,0,0.024823135161971
"A26",94.3153962880822,3.45511847788024,0.443562507295436,0.0933815804832497,1.03887008287615,0.151745068285281,0.151745068285281,0.0933815804832497,0,0,0.0466907902416248,0,0.0700361853624373,0,0,0.140072370724874,0,0,0,0
"A27",90.7760814249364,8.19338422391857,0.241730279898219,0,0.508905852417303,0,0,0,0,0,0,0,0,0,0,0.279898218829517,0,0,0,0
"A28",0.946672641720816,98.2803047277616,0.145641944880125,0.0896258122339234,0.201658077526328,0,0.0560161326462021,0,0,0,0.0560161326462021,0,0,0,0,0.224064530584809,0,0,0,0
"A3",95.3562116834613,2.07878232682686,1.19089563808047,0.15502783454302,0.197308153054753,0,0.394616306109506,0.331195828341907,0,0,0.119794235783243,0.0211401592558664,0,0,0,0.15502783454302,0,0,0,0
"A30",0.921240430777216,0.570909562735176,62.780589074867,0.181653042688465,0.071363695341897,0,6.43570779810562,6.36434410276372,0,0,15.1939794991566,0,0,0,0.0129752173348904,7.4672375762294,0,0,0,0
"A31",0.975252956235524,95.5016457393637,0.414482506400097,0,0,0,0,0.182859929294161,2.16993782762404,0,0,0,0,0,0,0.755821041082531,0,0,0,0
"A32",0.864553314121038,62.616074287544,29.9391610630804,0,0.032020493115594,0,2.00928594300352,0.508325328210054,0,0,0.0600384245917387,2.33349343579891,0,0.0440281780339417,0.0560358629522895,1.46093499839898,0,0,0,0.0760486711495357
"A33",94.7317005093852,0.488451608401368,0,0,2.67252808596748,0,0.0488451608401368,0,1.77238155048496,0,0,0,0,0,0,0.286093084920801,0,0,0,0
"A34",54.2994436014163,2.32675771370764,0.151745068285281,0,1.95582532456584,0.0674422525712359,0.0421514078570224,0.0758725341426404,40.7688416793121,0.0843028157140448,0.0843028157140448,0,0,0,0,0.126454223571067,0.016860563142809,0,0,0
"A35",0.704225352112676,59.4393282773565,13.6782231852654,8.19339111592633,0.121885157096425,2.35644637053088,0.284398699891658,12.3374864572048,0,0,0.392741061755146,0,0,0,0,2.41061755146262,0,0,0,0.0812567713976165
"A36",97.8817535862716,0.817803995173616,0.790990749430219,0,0,0,0.254725834562274,0.201099343075479,0,0,0.0536264914867945,0,0,0,0,0,0,0,0,0
"A37",98.1435997029759,1.19380819100931,0.222768035642886,0,0.0742560118809619,0,0.0856800137088022,0.102816016450563,0,0,0.0913920146227223,0,0,0,0.0285600045696007,0.0571200091392014,0,0,0,0
"A38",98.112683874549,1.37663058562309,0.0277546489036914,0,0,0,0,0,0,0,0,0.0333055786844296,0,0,0,0.4496253122398,0,0,0,0
"A39",94.4083769633508,3.09947643979058,1.0261780104712,0,0.607329842931937,0.167539267015707,0.418848167539267,0,0,0,0.146596858638743,0,0.12565445026178,0,0,0,0,0,0,0
"A4",1.7339312406577,95.575485799701,1.1858495266567,0.209267563527653,0.124564025909317,0.0597907324364724,0.219232685600399,0.568011958146487,0,0,0.134529147982063,0.0398604882909816,0,0,0,0.149476831091181,0,0,0,0
"A40",98.4472049689441,0.904671887658655,0,0,0.202538482311639,0,0,0.135025654874426,0,0,0.0945179584120983,0.0675128274372131,0,0.0540102619497705,0.0540102619497705,0.0405076964623278,0,0,0,0
"A41",98.7431365820178,0.67347288949897,0.124399450926561,0.0428963623884695,0.0471859986273164,0,0.0514756348661634,0.0257378174330817,0,0,0,0.0214481811942347,0.0128689087165408,0,0,0.257378174330816,0,0,0,0
"A42",99.0112548648364,0.415483328074051,0.115704217944672,0,0.0578521089723362,0,0,0.12622278321237,0,0,0.120963500578521,0.0262964131692437,0,0,0,0.12622278321237,0,0,0,0
"A45",0.490228997380968,35.2427640856893,0.355919683030018,0.396212477335303,61.9367403129407,0,0.0402927943052851,0,1.42367873212007,0,0,0,0,0,0,0.114162917198308,0,0,0,0
"A46",0.586611456176674,30.2474613033619,30.5777383417135,0,0,0,1.49857044266982,20.3391501528147,0,0,14.5814847678202,0,0,0,0.0295770482105886,2.13940648723257,0,0,0,0
"A47",97.9274790671926,1.51546605771227,0.114178949553664,0.0311397135146357,0.0311397135146357,0,0.0761192997024427,0.0207598090097571,0.0968791087121998,0,0.0449795861878071,0,0,0,0,0.141858694900007,0,0,0,0
"A48",1.13744485771127,0.432488539053715,3.55505579102154,0.0389239685148344,94.2219531182424,0,0.116771905544503,0,0,0,0.0129746561716115,0.0216244269526858,0,0.0302741977337601,0.0821728224202059,0.350315716633509,0,0,0,0
"A49",0.596703214738569,98.1427612441262,0.35056313865891,0.0372939509211606,0.111881852763482,0,0.108152457671366,0.309539792645633,0,0,0.0335645558290445,0.0447527411053927,0.0522115312896248,0,0.10442306257925,0.108152457671366,0,0,0,0
"A5",0.904952254052854,96.9686875416389,0.260937153009105,0,0.172107483899622,0,0.0499666888740839,0.260937153009105,0,0,0.0222074172773706,0,0,0.033311125916056,0.266489007328448,1.06040417499445,0,0,0,0
"A50",98.8080675010194,0.564599604780277,0.319939776042157,0.0595966249490292,0.08155327624604,0,0.0313666447100154,0.0439133025940215,0.0376399736520184,0,0,0.0250933157680123,0,0,0,0.0282299802390138,0,0,0,0
"A51",0.47968731493545,0.639583086580599,28.5562004027005,65.1367997157408,0.0710647873978444,0,0.153973706028663,0.515219708634372,2.99656520194244,0,0.0947530498637925,0.0355323936989222,0,0,0.201350230960559,1.11927040151605,0,0,0,0
"A52",0.549711929806015,98.329721444051,0.544426238173265,0.0845710661240023,0.0687139912257519,0,0.174427823880755,0.169142132248005,0,0,0,0,0,0,0,0.0792853744912521,0,0,0,0
"A53",1.26474106990258,67.0996410869937,0.222184242009913,19.6205776790292,7.45171765510169,0,0.153819859853017,0.188002050931465,0,0,0.0683643821568963,0,0,0,0,3.93095197402154,0,0,0,0
"A54",0.76127036992982,94.2309979778756,0.368740335434757,0.654216724158439,0.130843344831688,0,0.0475793981206138,0.0356845485904603,1.30843344831688,0,0.0713690971809207,0,0,0.0713690971809207,0.0594742476507672,2.26002141072916,0,0,0,0
"A55",1.01114856105782,0.821018062397373,36.9371705124881,0.0864229539365656,60.69484054965,0,0.103707544723879,0.112349840117535,0,0,0,0.0950652493302221,0,0,0,0.138276726298505,0,0,0,0
"A56",1.44503977918493,97.8730313362559,0,0,0.308491638252963,0,0.178600422146452,0,0,0,0,0,0,0,0,0.194836824159766,0,0,0,0
"A61",70.1161637625726,0.354157812721349,27.2984842045616,0,0,0,0,0.191245218869528,0,0,0,0,0,0,0,1.96911743873069,0,0.0708315625442697,0,0
"A62",0.386679292929293,0.512941919191919,53.6300505050505,0.118371212121212,0.0868055555555556,0,22.2537878787879,0.0789141414141414,0,0,0,16.8323863636364,0,0.110479797979798,0,5.93434343434343,0,0,0,0.055239898989899
"A64",0.511577813677975,51.2116316639742,8.22563274098007,0,0.134625740441572,0,0.457727517501346,1.92514808831449,0,0,15.0915455035003,0.713516424340334,0,0,0,0.767366720516963,0,20.9612277867528,0,0
"A65",0.995387229910172,70.3326050012139,0.75260985676135,26.4384559359068,0,0.169944161204176,0.364166059723234,0.242777373148823,0,0,0,0.291332847778587,0,0,0.145666423889294,0.267055110463705,0,0,0,0
"A66",0.23281460605318,33.1822080627374,41.7840950863865,0.0735204019115304,0,0,4.58277171915206,4.96262712902831,0,0,6.95993138095822,6.05930645754197,0,0,0,2.16272515623085,0,0,0,0
"A67",0.695168578380257,0.91762252346194,79.367396593674,6.27042057698992,0.111226972540841,0.0695168578380257,9.65589155370177,0.278067431352103,0,0,0.0625651720542232,0.139033715676051,0,0,0,2.4330900243309,0,0,0,0
"A69",0.469656506123952,0.414402799521135,0.27626853301409,0.0460447555023483,98.3055529975136,0,0.0828805599042269,0,0,0,0.0460447555023483,0,0,0,0,0.359149092918317,0,0,0,0
"A7",1.2987012987013,20.9697910784867,40.5208921513269,0,0.162337662337662,0,8.90739695087521,3.52202145680407,0,0,0.190570299265951,13.4669678147939,0,0.0282326369282891,0.211744776962168,10.7213438735178,0,0,0,0
"A70",92.1022067363531,1.21951219512195,0,0.40650406504065,0.348432055749129,0.193573364305072,0.561362756484708,0.212930700735579,0,0,0,0,0,0,0.0967866821525358,4.85869144405729,0,0,0,0
"A71",98.2794542643995,0.53767054237516,0.255393507628201,0.0470461724578265,0.0604879360172055,0.0873714631359634,0.0470461724578265,0.282277034746959,0.154580280932858,0,0.0739296995765844,0,0,0.0336044088984475,0,0.067208817796895,0,0.0739296995765844,0,0
"A72",0.705561773149725,50.1143496666829,0.0875869787358279,0.0632572624203202,46.6643958931439,0,0.111916695051336,0.0827210354727264,1.62035910661282,0,0,0.0778550922096248,0,0,0,0.47199649652085,0,0,0,0
"A73",0.588825402364025,97.8409735246652,0.414358616478388,0.135211759061369,0.0654250447071139,0,0.0872333929428185,0.122126750119946,0,0,0.0261700178828456,0.0654250447071139,0,0,0.0218083482357046,0.601910411305447,0,0.0305316875299865,0,0
"A74",0.240794250574202,70.6860783877899,0.0592724309105727,0,0.037045269319108,4.67140846113951,5.53826776320664,10.5801289175372,0,0,0,5.71238052900645,0.0777950655701267,0,0.303771208416685,2.0930577165296,0,0,0,0
"A75",98.9666359594665,0.440581567669323,0.228301357792286,0.0640845916609925,0,0,0.116153322385549,0.0720951656186166,0,0,0.0680898786398045,0,0,0,0,0.0320422958304962,0,0.0120158609364361,0,0
"A76",0.789410732796428,56.2475081731919,0.661829200223268,41.9743242165697,0.207319990431385,0,0.09568614942987,0,0,0,0,0.0239215373574675,0,0,0,0,0,0,0,0
"A77",0.495827790542992,44.2133268835409,0.223727173781594,54.196396178498,0.114886927077035,0,0.0846535252146572,0.0544201233522796,0.441407667190712,0,0,0,0,0,0,0.17535373080179,0,0,0,0
"A79",98.6542860987754,0.521464136724532,0,0.15812138339389,0.0302785627775535,0.0302785627775535,0.0370071322836765,0.252321356479612,0,0.0706499798142915,0,0.0168214237653075,0,0.006728569506123,0.026914278024492,0.195128515677567,0,0,0,0
"A80",98.6490270194596,0.454990900181996,0.272994540109198,0.0419991600167997,0.125997480050399,0,0.160996780064399,0,0.181996360072799,0,0.0769984600307994,0.0349993000139997,0,0,0,0,0,0,0,0
"B1",98.5818011974014,0.535009129124029,0.169844167975882,0,0.263258460362617,0,0.0424610419939705,0.0721837713897499,0,0,0.0424610419939705,0.0594454587915587,0,0,0.0339688335951764,0.199566897371661,0,0,0,0
"B10",1.75661375661376,1.41798941798942,49.989417989418,0,0.232804232804233,0,30.0952380952381,0.317460317460317,0,0,0,15.8518518518519,0,0,0,0.338624338624338,0,0,0,0
"B13",98.7927565392354,0.641946919612916,0.0766503784612436,0.31618281115263,0.124556864999521,0,0,0,0,0,0.0479064865382773,0,0,0,0,0,0,0,0,0
"B14",2.56318336619466,2.81412439505288,72.9162932425166,0.358487184083169,0.304714106470694,0,0.179243592041585,13.4074206847105,0,0,0,0,0,0.268865388062377,0,7.18766804086753,0,0,0,0
"B15",97.2133965310693,0.942757435283088,0.104172092296474,0,0.885462784520027,0,0,0.0989634876816501,0.43752278764519,0,0,0,0,0,0,0.317724881504245,0,0,0,0
"B16",98.3999204929437,0.457165573444643,0.238521168753727,0,0.119260584376863,0,0.163983303518187,0.154044921486782,0.109322202345458,0,0.134168157423971,0,0,0,0.0198767640628106,0.203736831643808,0,0,0,0
"B17",57.2737439779766,0.584996558843771,0.455953200275293,0.0387130075705437,0.0473158981417756,0,0.124741913282863,2.81314521679284,33.9470061940812,0,0.0903303509979353,0.0430144528561597,0.0258086717136958,0,2.48623537508603,2.06899518238128,0,0,0,0
"B18",0.718704512372635,0.791484716157205,0.0909752547307132,0,96.7430858806405,0.127365356622999,0,0.181950509461426,0,0,0,0,0,0.318413391557496,0,1.02802037845706,0,0,0,0
"B19",98.6270691333983,0.428432327166504,0.428432327166504,0,0,0,0.107108081791626,0,0,0,0.262901655306719,0.0778967867575463,0,0,0,0,0,0.068159688412853,0,0
"B2",1.33372560557027,97.9503775620281,0.299107580660979,0,0.102971462194763,0,0.142198685888006,0.0833578503481416,0,0,0.0196136118466216,0,0,0,0,0.0686476414631755,0,0,0,0
"B20",0.740384615384615,0.519230769230769,0,95.7884615384615,0.0769230769230769,0,0,0,0,0,0,0,0.615384615384615,0,0,2.25961538461539,0,0,0,0
"B21",0.93130209830411,50.8134521414199,0.178212129922391,0.143719459614832,46.0937050876689,0,0.126473124461052,0.0574877838459327,1.17275079045703,0,0.137970681230239,0.0344926703075596,0,0,0,0.310434032768036,0,0,0,0
"B22",73.4089038059654,0.6269393958584,0.164650750427459,0,24.5456272560319,0.158318029257172,0.0569944905325818,0.158318029257172,0.753593819264138,0,0.0633272117028687,0,0,0,0,0.0633272117028687,0,0,0,0
"B23",1.77554892924912,97.133369476823,0.216860937923556,0,0.0677690431011114,0,0.0813228517213337,0.203307129303334,0,0,0.0880997560314448,0.0338845215505557,0,0.0677690431011114,0.0203307129303334,0.311737598265113,0,0,0,0
"B24",2.28703315148972,95.4783885858162,0.965169953839698,0,0.178346621905162,0,0.209819555182543,0.199328577423416,0,0,0.503566932438103,0.0944187998321444,0,0,0,0.0839278220730172,0,0,0,0
"B26",88.5220948484993,1.99781192027779,2.44494125481615,0,0.190267801931218,0,0.10940398611045,0.161727631641535,6.33116110926129,0,0.0475669504828046,0,0,0,0.0142700851448414,0.180754411834657,0,0,0,0
"B27",1.12425457033923,0.268843484211555,0.136865773780428,0,0.0782090135888161,85.2820412552547,0.117313520383224,0.254179294163652,0,0,0,0,4.40414507772021,0.0830970769381171,0.29328380095806,7.95776713266204,0,0,0,0
"B28",98.6410267797664,0.657281165341742,0.377492561176,0,0.057734156415153,0,0,0.106586134920282,0.0222054447750588,0,0,0,0,0,0,0.137673757605365,0,0,0,0
"B29",94.7055410501886,1.00570544434774,0.536698578474035,0.178899526158012,0.0628565902717339,0.0338458563001644,0.0435161009573542,0.797795184218161,1.65361183637946,0,0,0.0338458563001644,0,0.0290107339715695,0.106372691229088,0.812300551203946,0,0,0,0
"B3",0.483697599426729,95.652693180461,2.05422190373821,0,0.0358294518093873,0,0.155260957840678,0.609100680759584,0,0,0.19706198495163,0.0597157530156455,0,0.053744177714081,0,0.698674310283053,0,0,0,0
"B30",82.5707933536157,0.626023870816756,0.16381933068102,0,0.157968640299555,0,0.0526562134331851,0.0819096653405102,16.1010999297917,0,0.1170138076293,0,0,0,0,0.12871518839223,0,0,0,0
"B31",98.1645404842489,0.668228759871561,0.485984552633863,0.0477306257051115,0.0998003992015968,0,0.0781046602447279,0.104139546992971,0,0,0.108478694784344,0,0,0,0.16054846828083,0.0824438080361017,0,0,0,0
"B32",0.680855933173132,99.138917496281,0.0743792195903421,0,0.0457718274402105,0,0.0314681313651448,0.017164435290079,0,0,0,0.0114429568600526,0,0,0,0,0,0,0,0
"B33",86.2508994962821,0.220676421204126,0.105540897097625,0.0335811945310626,10.8946989685776,0,0.86831374430319,0.00959462700887503,0,0,0.0239865675221876,0.191892540177501,0,0,0,1.40081554329575,0,0,0,0
"B34",97.1592486351439,0.735634311094661,0.14805218839641,0.0925326177477561,0.0879059868603683,0,0.124919033959471,0.46266308873878,0,0,0.046266308873878,0,0,0.0740260941982049,0.124919033959471,0.943832701027111,0,0,0,0
"B35",1.47551146931184,96.8133911965282,0.607563546187229,0.161190328580285,0.142591444513329,0,0.130192188468692,0.0681959082455053,0,0,0.111593304401736,0.0991940483570986,0,0,0.0495970241785493,0.340979541227527,0,0,0,0
"B36",0.395324853901684,97.1124097628051,0.11540539213279,0,0.0687521485046408,0,0.0319206403771546,0.0441978097529834,1.63777439473555,0,0.0196434710013259,0,0,0,0,0.574571526788784,0,0,0,0
"B38",96.519598056831,2.38237838557264,0,0,0,0,0.0332734411392826,0,1.06475011645704,0,0,0,0,0,0,0,0,0,0,0
"B39",84.3447195850054,0.127238915532935,3.09777821278262,10.3161397670549,0,0,0,0.264265439953019,1.68836253303318,0,0.102769893315063,0,0,0,0,0.0587256533228932,0,0,0,0
"B4",1.31881934268369,1.00481473728281,79.296629683902,0,0.251203684320703,0,14.4023445677203,0.690810131881934,0,0,0,0.230270043960645,0,0.502407368641407,1.23508478124346,1.06761565836299,0,0,0,0
"B40",0.340822458406207,96.4079106686399,0.0941746266648729,2.24673752186197,0.0717520965065698,0,0,0.0403605542849455,0.381183012691152,0,0.0224225301583031,0.0134535180949818,0.233194313646352,0,0,0.1479886990448,0,0,0,0
"B41",0.959196102314251,0.25121802679659,63.6723507917174,0,0,0,15.613580998782,2.03258221680877,0,0,0,0.0685140073081608,0,7.1863580998782,7.11023142509135,3.10596833130329,0,0,0,0
"B42",0.889649272882806,16.1733675506131,56.0022811519817,0.0741374394069005,0.0684345594525235,0,11.981750784146,3.16509837467921,0,0,4.0604505275164,3.67835757057314,0,0,0,3.90647276874821,0,0,0,0
"B43",96.0632411067194,0.743083003952569,0,0.0790513833992095,0.189723320158103,0,0.0790513833992095,0,2.37154150197628,0,0,0,0,0,0,0.474308300395257,0,0,0,0
"B44",0.925077853086646,97.5544971606521,0.320571533247848,0.0641143066495695,0,0,0.164865359956036,0.164865359956036,0,0,0.0732734933137937,0.100751053306466,0,0.119069426634915,0,0.512914453196556,0,0,0,0
"B45",96.9966456041813,0.499258912551681,1.96583196817224,0.14821748966378,0,0,0.20282393322412,0.0936110461034402,0,0,0,0.0546064435603401,0,0,0,0.0390046025431001,0,0,0,0
"B46",1.72239108409321,95.6095913542722,1.35089496791624,0,0.168861870989531,0,0,0.303951367781155,0,0,0,0.168861870989531,0,0,0.168861870989531,0.43904086457278,0,0.0675447483958122,0,0
"B47",0.469859042287314,0.399880035989203,37.8586424072778,0.129961011696491,59.6021193641907,0.199940017994602,0.139958012596221,0.259922023392982,0,0,0.139958012596221,0,0,0,0,0.799760071978406,0,0,0,0
"B48",97.7188513200556,0.764242704955998,0.277906438165818,0.0926354793886058,0,0,0.150532654006484,0.127373784159333,0.775822139879574,0,0,0.0926354793886058,0,0,0,0,0,0,0,0
"B49",98.8279489105935,0.488354620586026,0.157776108189331,0.0450788880540947,0.0826446280991736,0,0.0300525920360631,0.0601051840721262,0,0,0,0,0.0375657400450789,0,0.067618332081142,0.202854996243426,0,0,0,0
"B5",92.8505837596747,5.77200577200577,0.341073068345796,0,0,0,0.262363898727535,0.144300144300144,0.52472779745507,0,0,0,0,0,0,0.104945559491014,0,0,0,0
"B50",96.7447316603125,0.297456952532574,0.52788135238175,0.858854581256023,0.716410406803804,0,0.175960450793917,0.171770916251204,0,0,0,0.041895345427123,0,0.0251372072562738,0.238803468934601,0.201097658050191,0,0,0,0
"B51",98.8880146865985,0.629425649095201,0,0.0681877786519801,0.0839234198793601,0.0681877786519801,0.0891686336218201,0.0681877786519801,0,0,0,0.0262260687123,0.03147128245476,0,0,0.0472069236821401,0,0,0,0
"B52",58.8845589351688,8.83141859405841,0,0.455488638088972,4.03360493952123,0,0.0759147730148287,0.020243939470621,26.7068171466167,0,0.0657928032795182,0.0253049243382762,0.0303659092059315,0,0,0.870489397236702,0,0,0,0
"B54",0.351190856267161,50.4884745546261,0.261796820126429,0,46.7275397484196,0,0.0766234595491986,0.16601749568993,1.20681948789988,0,0.057467594661899,0,0,0,0,0.664069982759721,0,0,0,0
"B55",29.763739085773,63.7390857729841,0.667693888032871,0,4.49409347714432,0.179763739085773,0.282485875706215,0,0.796096558808423,0,0,0.0770416024653313,0,0,0,0,0,0,0,0
"B56",0.284450063211125,0.391908975979772,79.3173198482933,0.0379266750948167,0,0.208596713021492,0,5.46776232616941,0,0,0,0,0,0.689001264222503,6.1314791403287,7.47155499367889,0,0,0,0
"B57",94.1961514587213,5.23484378232982,0.227601903579557,0,0.217256362507759,0,0.0517277053589903,0,0,0,0,0.0724187875025864,0,0,0,0,0,0,0,0
"B58",0.852579322253399,1.01446147204835,0.399309302827542,0.291387869630909,0.118713576516296,0.151090006475286,0.0971292898769696,0.280595726311245,0,0,0,0.0539607165983164,0,94.9384847830779,0.075545003237643,1.72674293114613,0,0,0,0
"B59",97.4467622772708,1.11907866145154,0.358539765319426,0,0.141242937853107,0,0.239026510212951,0.0869187309865276,0.271621034332899,0,0.0869187309865276,0.0651890482398957,0,0,0.0325945241199478,0.152107779226423,0,0,0,0
"B6",97.7300258071312,1.07968610101648,0.421340917469848,0,0,0,0.168536366987939,0.168536366987939,0.0474008532153579,0,0.0632011376204772,0.0474008532153579,0,0,0,0.226470743140044,0,0.0474008532153579,0,0
"B61",99.0889603429796,0.482315112540193,0.125044658806717,0,0.0759199714183637,0,0.0669882100750268,0.0535905680600214,0,0,0,0.049124687388353,0,0,0,0.0580564487316899,0,0,0,0
"B62",97.7957113211898,0.0783952040581047,0,0,0,0,0,0.807009453539313,0,0,0.0230574129582661,0,0,0,0.0230574129582661,1.27276919529629,0,0,0,0
"B63",0.356097174962412,0.403576798290734,68.6476220621983,0.0791327055472027,0.0870459761019229,0,24.3728733085384,0.0553928938830419,5.3889372477645,0,0,0.0553928938830419,0,0.102872517211363,0,0.451056421619054,0,0,0,0
"B64",0.677436164669099,96.7344102831336,0.312662845231892,0,0.191071738752823,0,0.295292687163453,0.0521104742053153,0,0,0,0.0521104742053153,0,0,0,1.68490533263853,0,0,0,0
"B65",0.275103163686382,94.124582432698,0.478155498788236,0.150651732494924,3.24883736162966,0,0.137551581843191,0.0982511298879937,0.740158511822886,0,0,0,0,0,0,0.746708587148752,0,0,0,0
"B66",93.4645470603079,1.24905374716124,0.479434771637648,0,0.473126419379258,0,0.0946252838758516,1.88619732525864,0,0,0.0441584658087308,0,0,0.0378501135503407,0.649760282614181,1.52031289427202,0,0.0504668180671209,0,0.0504668180671209
"B67",98.9865720800608,0.667173380626636,0.152014187990879,0,0.0591166286631197,0,0.118233257326239,0,0,0,0,0,0,0.0168904653323199,0,0,0,0,0,0
"B68",98.5611955045078,0.487835000617513,0.154378164752377,0.0679263924910461,0.0494010127207608,0,0.0741015190811412,0.061751265900951,0,0,0.0247005063603804,0.0432258861306657,0,0,0.277880696554279,0.197604050883043,0,0,0,0
"B69",0.302447071762442,70.0577398955183,0,0.0756117679406104,0,0,6.64008798460269,12.6340390431674,0,6.31014572449821,0,0.0206213912565301,0,0,0.0412427825130602,3.91806433874072,0,0,0,0
"B70",0.81377151799687,0.860719874804382,0.219092331768388,0.125195618153365,0.109546165884194,94.3974960876369,0.140845070422535,0.28169014084507,0,0,0,0,0,0,0.28169014084507,2.14397496087637,0.2660406885759,0,0.359937402190923,0
"B71",98.9235273854633,0.490871512228729,0.254047537030658,0.0602824664140544,0.0818119187047882,0,0.0387530141233207,0.0602824664140544,0,0,0.0387530141233207,0,0,0,0.0129176713744402,0.0387530141233207,0,0,0,0
"B72",96.6850194998853,0.481761871988988,1.89263592567103,0.172057811424639,0.172057811424639,0,0.183528332186281,0.0688231245698555,0,0,0,0,0,0,0.0344115622849277,0.30970406056435,0,0,0,0
"B73",1.20471095927358,96.6106266295064,0.872066888429381,0.143846084689382,0.107884563517037,0,0.32365369055111,0.287692169378765,0,0,0,0.12586532410321,0,0.044951901465432,0,0.278701789085678,0,0,0,0
"B74",0.385957099383953,98.9608847324278,0.259778816893045,0.118756030579678,0.0816447710235285,0,0.0964892748459883,0,0,0,0.0222667557336896,0.0742225191122987,0,0,0,0,0,0,0,0
"B75",93.3773216031281,4.86314760508309,0.708699902248289,0.171065493646139,0.171065493646139,0,0,0.537634408602151,0,0,0,0,0,0,0,0.171065493646139,0,0,0,0
"B76",94.6088453674809,2.8516087377596,0.215215753793178,0.215215753793178,1.1514042827935,0,0.118368664586248,0.182933390724201,0,0,0.0645647261379533,0,0,0,0,0.591843322931238,0,0,0,0
