"Sample_ID","Lactobacillus","Gardnerella","Bifidobacterium","Atopobium","Prevotella","Megasphaera","Aerococcus","Streptococcus","Anaerococcus","Dialister","Ureaplasma","Finegoldia","Clostridium","Shuttleworthia","Genus_Other","Staphylococcus","Chlamydia","Veillonella","Enterococcus","Campylobacter","Fusobacterium","Peptostreptococcus","Bacteroides"
"A23",99.267056100518,0.159814835225394,0,0.0551085638708255,0.159814835225394,0.0440868510966604,0.0110217127741651,0.0771519894191557,0,0.0606194202579081,0,0,0,0.0606194202579081,0.104706271354569,0,0,0,0,0,0,0,0
"A24",50.8687258687259,48.1205995911878,0,0.124914830797184,0.102203043379514,0.0227117874176698,0.0113558937088349,0,0.397456279809221,0,0,0.0567794685441744,0,0,0.295253236429707,0,0,0,0,0,0,0,0
"A25",98.274792106243,0.577137892515825,0.105498324438377,0.20479086508626,0.0620578379049274,0.0992925406478838,0.024823135161971,0.024823135161971,0.0434404865334492,0,0.434404865334492,0.0558520541144347,0,0,0.0310289189524637,0.0372347027429564,0,0.024823135161971,0,0,0,0,0
"A26",98.9027664293218,0.443562507295436,0.151745068285281,0.151745068285281,0.0933815804832497,0.0466907902416248,0,0.0700361853624373,0,0,0.116726975604062,0.0233453951208124,0,0,0,0,0,0,0,0,0,0,0
"A27",99.4783715012723,0.241730279898219,0,0,0,0,0,0,0,0,0,0,0,0,0.279898218829517,0,0,0,0,0,0,0,0
"A28",99.5182612592427,0.145641944880125,0,0.0560161326462021,0,0.0560161326462021,0,0,0,0,0.123235491821645,0,0.0168048397938606,0,0.0616177459108223,0,0,0,0,0,0.0224064530584808,0,0
"A3",97.787329997886,1.19089563808047,0,0.394616306109506,0.331195828341907,0.119794235783243,0.0211401592558664,0,0,0.0422803185117328,0,0,0.112747516031287,0,0,0,0,0,0,0,0,0,0
"A30",1.74516673154275,62.780589074867,0,6.43570779810562,6.36434410276372,15.1939794991566,0,0,0.0129752173348904,0.999091734786558,0.0389256520046711,0,6.42922018943817,0,0,0,0,0,0,0,0,0,0
"A31",98.6468365232232,0.414482506400097,0,0,0.182859929294161,0,0,0,0,0,0,0,0,0,0.755821041082531,0,0,0,0,0,0,0,0
"A32",63.5646813960935,29.9391610630804,0,2.00928594300352,0.568363752801793,0.0600384245917387,2.33349343579891,0.0440281780339417,0.0560358629522895,0.608389369196286,0.152097342299071,0.0560358629522895,0,0,0.532340698046751,0,0,0.0760486711495357,0,0,0,0,0
"A33",99.6650617542391,0,0,0.0488451608401368,0,0,0,0,0,0,0,0,0,0,0.223292163840626,0.0628009210801758,0,0,0,0,0,0,0
"A34",99.4351711347159,0.151745068285281,0.0674422525712359,0.0421514078570224,0.0758725341426404,0.0843028157140448,0,0.016860563142809,0,0,0.126454223571067,0,0,0,0,0,0,0,0,0,0,0,0
